date,report_month,price,percent_change
2011-06-01,2011-06,95.42,-10.588455772113935
2011-09-01,2011-09,79.2,-16.998532802347512
2011-12-01,2011-12,98.83,24.785353535353536
2012-03-01,2012-03,103.02,4.239603359303845
2012-06-01,2012-06,84.96,-17.530576587070478
2012-09-04,2012-09,92.19,8.50988700564972
2012-12-03,2012-12,91.82,-0.4013450482698855
2013-03-01,2013-03,97.23,5.891962535395345
2013-06-03,2013-06,96.56,-0.6890877301244491
2013-09-03,2013-09,102.33,5.975559237779615
2013-12-02,2013-12,98.42,-3.8209713671455092
2014-03-03,2014-03,101.58,3.210729526518996
2014-06-02,2014-06,105.37,3.7310494191770127
2014-09-02,2014-09,91.16,-13.485811900920574
2014-12-01,2014-12,53.27,-41.56428258007898
2015-03-02,2015-03,47.6,-10.643889618922476
2015-06-01,2015-06,59.47,24.936974789915965
2015-09-01,2015-09,45.09,-24.18025895409449
2015-12-01,2015-12,37.04,-17.853182523841216
2016-03-01,2016-03,38.34,3.5097192224622153
2016-06-01,2016-06,48.33,26.056338028169
2016-09-01,2016-09,48.24,-0.18621973929235924
2016-12-01,2016-12,53.72,11.35986733001657
2017-03-01,2017-03,50.6,-5.80789277736411
2017-06-01,2017-06,46.04,-9.011857707509884
2017-09-01,2017-09,51.67,12.228496959165946
2017-12-01,2017-12,60.42,16.934391329591648
2018-03-01,2018-03,64.94,7.480966567361791
2018-06-01,2018-06,74.15,14.182322143517112
2018-09-01,2018-09,73.5992,-0.7428186109238122
2018-12-01,2018-12,45.41,-38.30095979304124
2019-03-01,2019-03,60.14,32.437789033252606
2019-06-02,2019-06,59.4601,-1.13052876621218
2019-09-01,2019-09,54.07,-9.065070526285691
2019-12-01,2019-12,60.7556,12.364712409839097
2020-03-02,2020-03,20.48,-66.29117315934663
2020-06-01,2020-06,39.27,91.74804687500003
2020-09-01,2020-09,40.22,2.4191494779729927
2020-12-01,2020-12,48.52,20.636499254102446
2021-03-01,2021-03,59.16,21.92910140148392
2021-06-01,2021-06,73.47,24.188640973630825
2021-09-01,2021-09,75.03,2.1233156390363384
2021-12-01,2021-12,74.88,-0.19992003198721076
